model,config,n,original_mean_km,no_gui_mean_km,mean_delta_km,mean_delta_ci95_low_km,mean_delta_ci95_high_km,original_median_km,no_gui_median_km,median_delta_km,mean_percent_change,median_percent_change,improved_locations,worsened_locations,ties,improvement_rate_percent,paired_effect_dz,original_within_1km_percent,no_gui_within_1km_percent,original_within_25km_percent,no_gui_within_25km_percent,original_within_200km_percent,no_gui_within_200km_percent,original_within_750km_percent,no_gui_within_750km_percent,original_within_2500km_percent,no_gui_within_2500km_percent,permutation_p_two_sided,holm_adjusted_p,significant_holm_0_05,direction
Chipoint v2,chipointv2_local_static,25,536.2340399999999,874.4976399999998,338.2636,-60.23800900000001,982.0168230000002,312.062,279.336,2.9860000000000184,17.854964399366274,1.2603602535214864,12,13,0,48.0,0.2311652997472774,0.0,0.0,16.0,20.0,32.0,48.0,76.0,72.0,100.0,96.0,0.25635743642563574,0.7690723092769072,False,original better
GeoCLIP,geoclip_static,25,1183.3436,437.0318,-746.3118000000001,-1890.041154,56.75252500000018,224.186,124.871,0.0,2.0192748867573154,0.0,11,5,9,44.0,-0.28728472012925266,12.0,20.0,16.0,24.0,44.0,52.0,76.0,84.0,92.0,100.0,0.1834481655183448,0.7337926620733792,False,no-location-gui better
PLONK,plonk_osv5m_static,25,501.79940000000005,363.78791999999993,-138.01148,-565.7677689999999,137.3900690000001,167.764,222.13,24.46100000000007,85.12825282308182,24.197056799769175,7,18,0,28.0,-0.142412515249165,0.0,0.0,20.0,12.0,56.00000000000001,40.0,84.0,88.0,96.0,100.0,0.7495825041749582,0.940030599694003,False,no-location-gui better
SALAD,salad_ivfflat_nprobe64,25,1308.495,1184.8933200000001,-123.60168,-443.95964599999996,194.01286100000019,929.182,897.602,0.0,94.55413862581769,0.0,11,6,8,44.0,-0.14883086108626536,4.0,4.0,4.0,8.0,20.0,28.000000000000004,44.0,48.0,92.0,92.0,0.4700152998470015,0.940030599694003,False,no-location-gui better
