model,config,dataset,location_id,original_error_km,no_gui_error_km,delta_km,percent_change,winner
PLONK,plonk_osv5m_static,europe-medium,loc_013,15.502,46.093,30.591,197.336,original
PLONK,plonk_osv5m_static,europe-medium,loc_014,489.503,513.964,24.461,4.997,original
PLONK,plonk_osv5m_static,europe-medium,loc_015,433.589,663.289,229.7,52.976,original
PLONK,plonk_osv5m_static,europe-medium,loc_016,47.226,129.72,82.494,174.679,original
PLONK,plonk_osv5m_static,europe-medium,loc_017,2.861,11.166,8.305,290.283,original
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_001,929.182,393.944,-535.238,-57.603,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_002,2437.092,1737.25,-699.842,-28.716,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_003,1484.163,1575.694,91.531,6.167,original
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_004,2170.913,2170.913,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_005,872.132,545.974,-326.158,-37.398,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_006,1056.739,472.453,-584.286,-55.291,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_007,663.937,1687.179,1023.242,154.117,original
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_008,110.254,110.254,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_018,3165.927,3165.927,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_019,7528.035,7528.035,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_020,2473.579,1229.169,-1244.41,-50.308,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_021,1537.162,165.562,-1371.6,-89.229,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_022,689.065,218.548,-470.517,-68.283,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_023,1483.641,1483.641,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_024,977.726,977.726,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-hard,loc_025,346.696,276.486,-70.21,-20.251,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_009,305.333,2098.19,1792.857,587.181,original
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_010,232.817,3.003,-229.814,-98.71,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_011,98.917,98.917,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_012,60.742,1220.063,1159.321,1908.599,original
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_013,0.004,0.004,0.0,0.0,tie
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_014,461.607,1354.773,893.166,193.491,original
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_015,1177.765,897.602,-280.163,-23.788,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_016,75.24,182.592,107.352,142.679,original
SALAD,salad_ivfflat_nprobe64,europe-medium,loc_017,2373.707,28.434,-2345.273,-98.802,no-location-gui
