location_id,country,city_or_region,difficulty,primary_clue_type,gt_lat,gt_lon,pred_lat,pred_lon,prediction_error_km,sample_seed,inference_seconds,image
loc_001,France,Paris,easy,landmark,48.8521298,2.3696389,48.8837585,2.3765435,3.554,9187157051499362619,15.005,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_001.png
loc_002,Germany,Berlin,easy,landmark,52.5206008,13.4151229,52.4631233,13.4052896,6.431,8360285426184841645,12.288,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_002.png
loc_003,Austria,Salzburg,easy,landmark,47.8005438,13.0529765,47.1894455,10.3730812,213.042,1891229303869565431,10.608,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_003.png
loc_004,Czechia,Český Krumlov,easy,landmark,48.8126024,14.3129755,48.2099495,18.3097725,302.773,7809844864313021714,7.150,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_004.png
loc_005,Croatia,Pula,easy,landmark,44.8747121,13.8493020,41.4712029,13.3159828,380.593,4455024132070015260,5.065,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_005.png
loc_006,Poland,"Sieniawka, Gmina Bogatynia",easy,text,50.9008842,14.8455043,50.0212898,20.1270103,387.486,4252678131521451407,4.978,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_006.png
loc_007,Slovenia,"Višnja Gora, Ivančna Gorica Municipality",easy,text,45.9577599,14.7424922,46.4450493,15.3843889,73.405,2872716007917285863,4.830,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_007.png
loc_008,Norway,"Flåm, Aurland Municipality",easy,mixed,60.8634735,7.1179637,64.9860535,-20.3661079,1456.278,5712915700421548336,5.241,demo_and_extension/data/starting-images-no-gui-crop/no-location-gui/europe-easy/loc_008.png
