location_id,country,city_or_region,difficulty,primary_clue_type,gt_lat,gt_lon,pred_lat,pred_lon,reference_id,reference_split,retrieval_distance,top1_error_km,topk_mean_error_km,topk_weighted_error_km,topk_oracle_rank,topk_oracle_error_km,descriptor_seconds,search_seconds,inference_seconds,image
loc_018,Greece,"Arcadia Regional Unit, Peloponnese",hard,landscape,37.3439407,22.5909077,65.4982579,15.5373235,491790362135068,train,1.06595826,3165.927,3057.941,3057.422,2,2898.503,3.800,90.152,93.952,demo_and_extension/data/starting-images/europe-hard/loc_018.png
loc_019,Romania,"Vurpăr, Sibiu County",hard,architecture,45.8911426,24.3372001,49.8836066,136.1278375,775082676829065,train,1.27562046,7528.035,897.295,913.509,3,384.566,0.137,90.152,90.289,demo_and_extension/data/starting-images/europe-hard/loc_019.png
loc_020,Bulgaria,"Vărbina, Madan Municipality, Smolyan Province",hard,architecture,41.5643939,24.9701484,43.3732133,-5.1731430,799776193990535,train,1.27517772,2473.579,699.573,701.442,5,386.289,0.134,90.152,90.286,demo_and_extension/data/starting-images/europe-hard/loc_020.png
loc_021,Hungary,"Csongrád District, Csongrád-Csanád County",hard,landscape,46.7060180,20.0496719,47.2085595,-0.1885853,291999429307972,train,1.13622046,1537.162,710.760,714.652,4,165.562,0.163,90.152,90.315,demo_and_extension/data/starting-images/europe-hard/loc_021.png
loc_022,Latvia,"Ranka Parish, Gulbene Municipality",hard,infrastructure,57.1907677,26.1476727,54.8235014,36.3684993,750846572262196,train,1.09178126,689.065,929.909,918.055,5,263.883,0.135,90.152,90.287,demo_and_extension/data/starting-images/europe-hard/loc_022.png
loc_023,Lithuania,"Pašakiai, Radviliškis District Municipality, Šiauliai County",hard,infrastructure,55.5966197,23.8297989,50.5888878,3.1922115,307900897496892,train,1.06095958,1483.641,194.173,197.473,2,331.635,0.146,90.152,90.298,demo_and_extension/data/starting-images/europe-hard/loc_023.png
loc_024,Denmark,"Lemvig Municipality, Central Denmark Region",hard,landscape,56.6011250,8.1639420,48.8762060,1.2320911,892198801732771,train,0.99567348,977.726,971.108,971.141,3,967.422,0.165,90.152,90.317,demo_and_extension/data/starting-images/europe-hard/loc_024.png
loc_025,Finland,"Utajärvi Municipality, North Ostrobothnia",hard,landscape,64.9428390,26.9554129,64.4752670,19.7638380,1277764342625359,train,1.06787848,346.696,335.593,335.727,4,297.041,0.141,90.152,90.293,demo_and_extension/data/starting-images/europe-hard/loc_025.png
