location_id,country,city_or_region,difficulty,primary_clue_type,gt_lat,gt_lon,pred_lat,pred_lon,prediction_error_km,sample_seed,inference_seconds,image
loc_009,Spain,Valencia,medium,architecture,39.4667928,-0.3661343,41.9474754,2.5534651,369.762,3861076639366884473,4.172,demo_and_extension/data/starting-images/europe-medium/loc_009.png
loc_010,Italy,Bologna,medium,architecture,44.4930672,11.3250143,42.4743118,12.1530609,234.074,1800827312439842261,3.854,demo_and_extension/data/starting-images/europe-medium/loc_010.png
loc_011,Netherlands,Utrecht,medium,infrastructure,52.1124003,5.0797161,52.0757790,4.7747407,21.295,7686998077555027115,3.989,demo_and_extension/data/starting-images/europe-medium/loc_011.png
loc_012,Belgium,"Merelbeke, Merelbeke-Melle",medium,mixed,50.9874591,3.7463905,50.5630569,6.0002084,165.830,7881860585041606953,3.959,demo_and_extension/data/starting-images/europe-medium/loc_012.png
loc_013,Portugal,Coimbra,medium,infrastructure,40.2155817,-8.4337562,40.1749763,-8.6079369,15.502,7659061149252310266,3.845,demo_and_extension/data/starting-images/europe-medium/loc_013.png
loc_014,Sweden,Uppsala,medium,architecture,59.8481151,17.6140674,56.2983398,12.7154350,489.503,8044171600699641572,3.847,demo_and_extension/data/starting-images/europe-medium/loc_014.png
loc_015,Estonia,Tartu,medium,mixed,58.3478594,26.7197804,54.8818321,23.4975033,433.589,4653826715465208721,3.848,demo_and_extension/data/starting-images/europe-medium/loc_015.png
loc_016,Slovakia,Banská Bystrica,medium,mixed,48.7583857,19.1412898,49.1739311,19.2742290,47.226,3067765193911971960,3.831,demo_and_extension/data/starting-images/europe-medium/loc_016.png
loc_017,Ireland,"Boleybeg East, County Galway",medium,infrastructure,53.2819335,-9.1382768,53.2916374,-9.1779957,2.861,1468856334619488418,3.854,demo_and_extension/data/starting-images/europe-medium/loc_017.png
