model_family,complete_runs,n,series_ids,distance_sources,mean_km,median_km,std_population_km,rmse_km,min_km,max_km,within_1_km_percent,within_25_km_percent,within_200_km_percent,within_750_km_percent,within_2500_km_percent
gemini-3.7-flash-high,1,25,gemini-3.7-flash-high,recomputed_geodesic,718.675603,789.832886,346.193207,797.711952,189.505175,1933.350736,0.0,0.0,4.0,40.0,100.0
gemini-3.7-flash-high-aided,1,25,gemini-3.7-flash-high-aided,recomputed_geodesic,42.818704,0.097468,66.743526,79.297792,0.001396,231.306422,56.0,64.0,92.0,100.0,100.0
glm-5.3-flash-max,3,75,"glm-5.3-flash-max/run-1,glm-5.3-flash-max/run-2,glm-5.3-flash-max/run-3",recomputed_geodesic_from_verified_mcp_pin,138.026065,22.496036,206.84418,248.66787,0.114978,912.452295,26.666667,50.666667,77.333333,97.333333,100.0
gpt-5.6-sol-max,3,75,"gpt-5.6-sol-max,gpt-5.6-sol-max/runs/recorded-r3,gpt-5.6-sol-max/runs/recorded-r4",recomputed_geodesic,148.463022,5.68404,296.820758,331.879242,0.014116,1930.492906,37.333333,54.666667,76.0,97.333333,100.0
gpt-5.6-sol-xhigh,3,75,"gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh/runs/recorded-r2,gpt-5.6-sol-xhigh/runs/recorded-r3",recomputed_geodesic,152.168575,19.497709,287.718834,325.480264,0.015372,1762.957399,38.666667,52.0,74.666667,96.0,100.0
gpt-6-astra-low,3,75,"gpt-6-astra-low/run-1,gpt-6-astra-low/run-2,gpt-6-astra-low/run-3",published_displayed_distance,56.074213,0.536,143.55485,154.117852,0.004,762.5,57.333333,77.333333,89.333333,98.666667,100.0
grok-4.6-xhigh,3,75,"grok-4.6-xhigh,grok-4.6-xhigh/runs/recorded-r2,grok-4.6-xhigh/runs/recorded-r3",recomputed_geodesic,581.191124,486.583622,411.842789,712.318472,43.87917,2608.261432,0.0,0.0,12.0,70.666667,98.666667
